Series,Month,Sunspots
1,1897-11-01,8.4
1,1897-12-01,33.3
1,1898-01-01,30.2
1,1898-02-01,36.4
1,1898-03-01,38.3
1,1898-04-01,14.5
1,1898-05-01,25.8
1,1898-06-01,22.3
1,1898-07-01,9.0
1,1898-08-01,31.4
1,1898-09-01,34.8
1,1898-10-01,34.4
1,1898-11-01,30.9
1,1898-12-01,12.6
1,1899-01-01,19.5
1,1899-02-01,9.2
1,1899-03-01,18.1
1,1899-04-01,14.2
1,1899-05-01,7.7
1,1899-06-01,20.5
1,1899-07-01,13.5
1,1899-08-01,2.9
1,1899-09-01,8.4
1,1899-10-01,13.0
1,1899-11-01,7.8
1,1899-12-01,10.5
1,1900-01-01,9.4
1,1900-02-01,13.6
1,1900-03-01,8.6
1,1900-04-01,16.0
1,1900-05-01,15.2
1,1900-06-01,12.1
1,1900-07-01,8.3
1,1900-08-01,4.3
1,1900-09-01,8.3
1,1900-10-01,12.9
1,1900-11-01,4.5
1,1900-12-01,0.3
1,1901-01-01,0.2
1,1901-02-01,2.4
1,1901-03-01,4.5
1,1901-04-01,0.0
1,1901-05-01,10.2
1,1901-06-01,5.8
1,1901-07-01,0.7
1,1901-08-01,1.0
1,1901-09-01,0.6
1,1901-10-01,3.7
1,1901-11-01,3.8
1,1901-12-01,0.0
1,1902-01-01,5.2
1,1902-02-01,0.0
1,1902-03-01,12.4
1,1902-04-01,0.0
1,1902-05-01,2.8
1,1902-06-01,1.4
1,1902-07-01,0.9
1,1902-08-01,2.3
1,1902-09-01,7.6
1,1902-10-01,16.3
1,1902-11-01,10.3
1,1902-12-01,1.1
1,1903-01-01,8.3
1,1903-02-01,17.0
1,1903-03-01,13.5
1,1903-04-01,26.1
1,1903-05-01,14.6
1,1903-06-01,16.3
1,1903-07-01,27.9
1,1903-08-01,28.8
1,1903-09-01,11.1
1,1903-10-01,38.9
1,1903-11-01,44.5
1,1903-12-01,45.6
1,1904-01-01,31.6
1,1904-02-01,24.5
1,1904-03-01,37.2
1,1904-04-01,43.0
1,1904-05-01,39.5
1,1904-06-01,41.9
1,1904-07-01,50.6
1,1904-08-01,58.2
1,1904-09-01,30.1
1,1904-10-01,54.2
1,1904-11-01,38.0
1,1904-12-01,54.6
1,1905-01-01,54.8
1,1905-02-01,85.8
1,1905-03-01,56.5
1,1905-04-01,39.3
1,1905-05-01,48.0
1,1905-06-01,49.0
1,1905-07-01,73.0
1,1905-08-01,58.8
1,1905-09-01,55.0
1,1905-10-01,78.7
1,1905-11-01,107.2
1,1905-12-01,55.5
1,1906-01-01,45.5
1,1906-02-01,31.3
1,1906-03-01,64.5
1,1906-04-01,55.3
1,1906-05-01,57.7
1,1906-06-01,63.2
1,1906-07-01,103.6
1,1906-08-01,47.7
1,1906-09-01,56.1
1,1906-10-01,17.8
1,1906-11-01,38.9
1,1906-12-01,64.7
1,1907-01-01,76.4
1,1907-02-01,108.2
1,1907-03-01,60.7
1,1907-04-01,52.6
1,1907-05-01,42.9
1,1907-06-01,40.4
1,1907-07-01,49.7
1,1907-08-01,54.3
1,1907-09-01,85.0
1,1907-10-01,65.4
1,1907-11-01,61.5
1,1907-12-01,47.3
1,1908-01-01,39.2
1,1908-02-01,33.9
1,1908-03-01,28.7
1,1908-04-01,57.6
1,1908-05-01,40.8
1,1908-06-01,48.1
1,1908-07-01,39.5
1,1908-08-01,90.5
1,1908-09-01,86.9
1,1908-10-01,32.3
1,1908-11-01,45.5
1,1908-12-01,39.5
1,1909-01-01,56.7
1,1909-02-01,46.6
1,1909-03-01,66.3
1,1909-04-01,32.3
1,1909-05-01,36.0
1,1909-06-01,22.6
1,1909-07-01,35.8
1,1909-08-01,23.1
1,1909-09-01,38.8
1,1909-10-01,58.4
1,1909-11-01,55.8
1,1909-12-01,54.2
1,1910-01-01,26.4
1,1910-02-01,31.5
1,1910-03-01,21.4
1,1910-04-01,8.4
1,1910-05-01,22.2
1,1910-06-01,12.3
1,1910-07-01,14.1
1,1910-08-01,11.5
1,1910-09-01,26.2
1,1910-10-01,38.3
1,1910-11-01,4.9
1,1910-12-01,5.8
1,1911-01-01,3.4
1,1911-02-01,9.0
1,1911-03-01,7.8
1,1911-04-01,16.5
1,1911-05-01,9.0
1,1911-06-01,2.2
1,1911-07-01,3.5
1,1911-08-01,4.0
1,1911-09-01,4.0
1,1911-10-01,2.6
1,1911-11-01,4.2
1,1911-12-01,2.2
1,1912-01-01,0.3
1,1912-02-01,0.0
1,1912-03-01,4.9
1,1912-04-01,4.5
1,1912-05-01,4.4
1,1912-06-01,4.1
1,1912-07-01,3.0
1,1912-08-01,0.3
1,1912-09-01,9.5
1,1912-10-01,4.6
1,1912-11-01,1.1
1,1912-12-01,6.4
1,1913-01-01,2.3
1,1913-02-01,2.9
1,1913-03-01,0.5
1,1913-04-01,0.9
1,1913-05-01,0.0
1,1913-06-01,0.0
1,1913-07-01,1.7
1,1913-08-01,0.2
1,1913-09-01,1.2
1,1913-10-01,3.1
1,1913-11-01,0.7
1,1913-12-01,3.8
1,1914-01-01,2.8
1,1914-02-01,2.6
1,1914-03-01,3.1
1,1914-04-01,17.3
1,1914-05-01,5.2
1,1914-06-01,11.4
1,1914-07-01,5.4
1,1914-08-01,7.7
1,1914-09-01,12.7
1,1914-10-01,8.2
1,1914-11-01,16.4
1,1914-12-01,22.3
1,1915-01-01,23.0
1,1915-02-01,42.3
1,1915-03-01,38.8
1,1915-04-01,41.3
1,1915-05-01,33.0
1,1915-06-01,68.8
1,1915-07-01,71.6
1,1915-08-01,69.6
1,1915-09-01,49.5
1,1915-10-01,53.5
1,1915-11-01,42.5
1,1915-12-01,34.5
1,1916-01-01,45.3
1,1916-02-01,55.4
1,1916-03-01,67.0
1,1916-04-01,71.8
1,1916-05-01,74.5
1,1916-06-01,67.7
1,1916-07-01,53.5
1,1916-08-01,35.2
1,1916-09-01,45.1
1,1916-10-01,50.7
1,1916-11-01,65.6
1,1916-12-01,53.0
1,1917-01-01,74.7
1,1917-02-01,71.9
1,1917-03-01,94.8
1,1917-04-01,74.7
1,1917-05-01,114.1
1,1917-06-01,114.9
1,1917-07-01,119.8
1,1917-08-01,154.5
1,1917-09-01,129.4
1,1917-10-01,72.2
1,1917-11-01,96.4
1,1917-12-01,129.3
1,1918-01-01,96.0
1,1918-02-01,65.3
1,1918-03-01,72.2
1,1918-04-01,80.5
1,1918-05-01,76.7
1,1918-06-01,59.4
1,1918-07-01,107.6
1,1918-08-01,101.7
1,1918-09-01,79.9
1,1918-10-01,85.0
1,1918-11-01,83.4
1,1918-12-01,59.2
1,1919-01-01,48.1
1,1919-02-01,79.5
1,1919-03-01,66.5
1,1919-04-01,51.8
1,1919-05-01,88.1
1,1919-06-01,111.2
1,1919-07-01,64.7
1,1919-08-01,69.0
1,1919-09-01,54.7
1,1919-10-01,52.8
1,1919-11-01,42.0
1,1919-12-01,34.9
1,1920-01-01,51.1
1,1920-02-01,53.9
1,1920-03-01,70.2
1,1920-04-01,14.8
1,1920-05-01,33.3
1,1920-06-01,38.7
1,1920-07-01,27.5
1,1920-08-01,19.2
1,1920-09-01,36.3
1,1920-10-01,49.6
1,1920-11-01,27.2
1,1920-12-01,29.9
1,1921-01-01,31.5
1,1921-02-01,28.3
1,1921-03-01,26.7
1,1921-04-01,32.4
1,1921-05-01,22.2
1,1921-06-01,33.7
1,1921-07-01,41.9
1,1921-08-01,22.8
1,1921-09-01,17.8
1,1921-10-01,18.2
1,1921-11-01,17.8
1,1921-12-01,20.3
1,1922-01-01,11.8
1,1922-02-01,26.4
1,1922-03-01,54.7
1,1922-04-01,11.0
1,1922-05-01,8.0
1,1922-06-01,5.8
1,1922-07-01,10.9
1,1922-08-01,6.5
1,1922-09-01,4.7
1,1922-10-01,6.2
1,1922-11-01,7.4
1,1922-12-01,17.5
1,1923-01-01,4.5
1,1923-02-01,1.5
1,1923-03-01,3.3
1,1923-04-01,6.1
1,1923-05-01,3.2
1,1923-06-01,9.1
1,1923-07-01,3.5
1,1923-08-01,0.5
1,1923-09-01,13.2
1,1923-10-01,11.6
1,1923-11-01,10.0
1,1923-12-01,2.8
1,1924-01-01,0.5
1,1924-02-01,5.1
1,1924-03-01,1.8
1,1924-04-01,11.3
1,1924-05-01,20.8
1,1924-06-01,24.0
1,1924-07-01,28.1
1,1924-08-01,19.3
1,1924-09-01,25.1
1,1924-10-01,25.6
1,1924-11-01,22.5
1,1924-12-01,16.5
1,1925-01-01,5.5
1,1925-02-01,23.2
1,1925-03-01,18.0
1,1925-04-01,31.7
1,1925-05-01,42.8
1,1925-06-01,47.5
1,1925-07-01,38.5
1,1925-08-01,37.9
1,1925-09-01,60.2
1,1925-10-01,69.2
1,1925-11-01,58.6
1,1925-12-01,98.6
1,1926-01-01,71.8
1,1926-02-01,70.0
1,1926-03-01,62.5
1,1926-04-01,38.5
1,1926-05-01,64.3
1,1926-06-01,73.5
1,1926-07-01,52.3
1,1926-08-01,61.6
1,1926-09-01,60.8
1,1926-10-01,71.5
1,1926-11-01,60.5
1,1926-12-01,79.4
1,1927-01-01,81.6
1,1927-02-01,93.0
1,1927-03-01,69.6
1,1927-04-01,93.5
1,1927-05-01,79.1
1,1927-06-01,59.1
1,1927-07-01,54.9
1,1927-08-01,53.8
1,1927-09-01,68.4
1,1927-10-01,63.1
1,1927-11-01,67.2
1,1927-12-01,45.2
1,1928-01-01,83.5
1,1928-02-01,73.5
1,1928-03-01,85.4
1,1928-04-01,80.6
1,1928-05-01,76.9
1,1928-06-01,91.4
1,1928-07-01,98.0
1,1928-08-01,83.8
1,1928-09-01,89.7
1,1928-10-01,61.4
1,1928-11-01,50.3
1,1928-12-01,59.0
1,1929-01-01,68.9
1,1929-02-01,64.1
1,1929-03-01,50.2
1,1929-04-01,52.8
1,1929-05-01,58.2
1,1929-06-01,71.9
1,1929-07-01,70.2
1,1929-08-01,65.8
1,1929-09-01,34.4
1,1929-10-01,54.0
1,1929-11-01,81.1
1,1929-12-01,108.0
1,1930-01-01,65.3
1,1930-02-01,49.2
1,1930-03-01,35.0
1,1930-04-01,38.2
1,1930-05-01,36.8
1,1930-06-01,28.8
1,1930-07-01,21.9
1,1930-08-01,24.9
1,1930-09-01,32.1
1,1930-10-01,34.4
1,1930-11-01,35.6
1,1930-12-01,25.8
1,1931-01-01,14.6
1,1931-02-01,43.1
1,1931-03-01,30.0
1,1931-04-01,31.2
1,1931-05-01,24.6
1,1931-06-01,15.3
1,1931-07-01,17.4
1,1931-08-01,13.0
1,1931-09-01,19.0
1,1931-10-01,10.0
1,1931-11-01,18.7
1,1931-12-01,17.8
1,1932-01-01,12.1
1,1932-02-01,10.6
1,1932-03-01,11.2
1,1932-04-01,11.2
1,1932-05-01,17.9
1,1932-06-01,22.2
1,1932-07-01,9.6
1,1932-08-01,6.8
1,1932-09-01,4.0
1,1932-10-01,8.9
1,1932-11-01,8.2
1,1932-12-01,11.0
1,1933-01-01,12.3
1,1933-02-01,22.2
1,1933-03-01,10.1
1,1933-04-01,2.9
1,1933-05-01,3.2
1,1933-06-01,5.2
1,1933-07-01,2.8
1,1933-08-01,0.2
1,1933-09-01,5.1
1,1933-10-01,3.0
1,1933-11-01,0.6
1,1933-12-01,0.3
1,1934-01-01,3.4
1,1934-02-01,7.8
1,1934-03-01,4.3
1,1934-04-01,11.3
1,1934-05-01,19.7
1,1934-06-01,6.7
1,1934-07-01,9.3
1,1934-08-01,8.3
1,1934-09-01,4.0
1,1934-10-01,5.7
1,1934-11-01,8.7
1,1934-12-01,15.4
1,1935-01-01,18.9
1,1935-02-01,20.5
1,1935-03-01,23.1
1,1935-04-01,12.2
1,1935-05-01,27.3
1,1935-06-01,45.7
1,1935-07-01,33.9
1,1935-08-01,30.1
1,1935-09-01,42.1
1,1935-10-01,53.2
1,1935-11-01,64.2
1,1935-12-01,61.5
1,1936-01-01,62.8
1,1936-02-01,74.3
1,1936-03-01,77.1
1,1936-04-01,74.9
1,1936-05-01,54.6
1,1936-06-01,70.0
1,1936-07-01,52.3
1,1936-08-01,87.0
1,1936-09-01,76.0
1,1936-10-01,89.0
1,1936-11-01,115.4
1,1936-12-01,123.4
1,1937-01-01,132.5
1,1937-02-01,128.5
1,1937-03-01,83.9
1,1937-04-01,109.3
1,1937-05-01,116.7
1,1937-06-01,130.3
1,1937-07-01,145.1
1,1937-08-01,137.7
1,1937-09-01,100.7
1,1937-10-01,124.9
1,1937-11-01,74.4
1,1937-12-01,88.8
1,1938-01-01,98.4
1,1938-02-01,119.2
1,1938-03-01,86.5
1,1938-04-01,101.0
1,1938-05-01,127.4
1,1938-06-01,97.5
1,1938-07-01,165.3
1,1938-08-01,115.7
1,1938-09-01,89.6
1,1938-10-01,99.1
1,1938-11-01,122.2
1,1938-12-01,92.7
1,1939-01-01,80.3
1,1939-02-01,77.4
1,1939-03-01,64.6
1,1939-04-01,109.1
1,1939-05-01,118.3
1,1939-06-01,101.0
1,1939-07-01,97.6
1,1939-08-01,105.8
1,1939-09-01,112.6
1,1939-10-01,88.1
1,1939-11-01,68.1
1,1939-12-01,42.1
1,1940-01-01,50.5
1,1940-02-01,59.4
1,1940-03-01,83.3
1,1940-04-01,60.7
1,1940-05-01,54.4
1,1940-06-01,83.9
1,1940-07-01,67.5
1,1940-08-01,105.5
1,1940-09-01,66.5
1,1940-10-01,55.0
1,1940-11-01,58.4
1,1940-12-01,68.3
1,1941-01-01,45.6
1,1941-02-01,44.5
1,1941-03-01,46.4
1,1941-04-01,32.8
1,1941-05-01,29.5
1,1941-06-01,59.8
1,1941-07-01,66.9
1,1941-08-01,60.0
1,1941-09-01,65.9
1,1941-10-01,46.3
1,1941-11-01,38.3
1,1941-12-01,33.7
1,1942-01-01,35.6
1,1942-02-01,52.8
1,1942-03-01,54.2
1,1942-04-01,60.7
1,1942-05-01,25.0
1,1942-06-01,11.4
1,1942-07-01,17.7
1,1942-08-01,20.2
1,1942-09-01,17.2
1,1942-10-01,19.2
1,1942-11-01,30.7
1,1942-12-01,22.5
1,1943-01-01,12.4
1,1943-02-01,28.9
1,1943-03-01,27.4
1,1943-04-01,26.1
1,1943-05-01,14.1
1,1943-06-01,7.6
1,1943-07-01,13.2
1,1943-08-01,19.4
1,1943-09-01,10.0
1,1943-10-01,7.8
1,1943-11-01,10.2
1,1943-12-01,18.8
1,1944-01-01,3.7
1,1944-02-01,0.5
1,1944-03-01,11.0
1,1944-04-01,0.3
1,1944-05-01,2.5
1,1944-06-01,5.0
1,1944-07-01,5.0
1,1944-08-01,16.7
1,1944-09-01,14.3
1,1944-10-01,16.9
1,1944-11-01,10.8
1,1944-12-01,28.4
1,1945-01-01,18.5
1,1945-02-01,12.7
1,1945-03-01,21.5
1,1945-04-01,32.0
1,1945-05-01,30.6
1,1945-06-01,36.2
1,1945-07-01,42.6
1,1945-08-01,25.9
1,1945-09-01,34.9
1,1945-10-01,68.8
1,1945-11-01,46.0
1,1945-12-01,27.4
1,1946-01-01,47.6
1,1946-02-01,86.2
1,1946-03-01,76.6
1,1946-04-01,75.7
1,1946-05-01,84.9
1,1946-06-01,73.5
1,1946-07-01,116.2
1,1946-08-01,107.2
1,1946-09-01,94.4
1,1946-10-01,102.3
1,1946-11-01,123.8
1,1946-12-01,121.7
1,1947-01-01,115.7
1,1947-02-01,113.4
1,1947-03-01,129.8
1,1947-04-01,149.8
1,1947-05-01,201.3
1,1947-06-01,163.9
1,1947-07-01,157.9
1,1947-08-01,188.8
1,1947-09-01,169.4
1,1947-10-01,163.6
1,1947-11-01,128.0
1,1947-12-01,116.5
1,1948-01-01,108.5
1,1948-02-01,86.1
1,1948-03-01,94.8
1,1948-04-01,189.7
1,1948-05-01,174.0
1,1948-06-01,167.8
1,1948-07-01,142.2
1,1948-08-01,157.9
1,1948-09-01,143.3
1,1948-10-01,136.3
1,1948-11-01,95.8
1,1948-12-01,138.0
1,1949-01-01,119.1
1,1949-02-01,182.3
1,1949-03-01,157.5
1,1949-04-01,147.0
1,1949-05-01,106.2
1,1949-06-01,121.7
1,1949-07-01,125.8
1,1949-08-01,123.8
1,1949-09-01,145.3
1,1949-10-01,131.6
1,1949-11-01,143.5
1,1949-12-01,117.6
1,1950-01-01,101.6
1,1950-02-01,94.8
1,1950-03-01,109.7
1,1950-04-01,113.4
1,1950-05-01,106.2
1,1950-06-01,83.6
1,1950-07-01,91.0
1,1950-08-01,85.2
1,1950-09-01,51.3
1,1950-10-01,61.4
1,1950-11-01,54.8
1,1950-12-01,54.1
1,1951-01-01,59.9
1,1951-02-01,59.9
1,1951-03-01,59.9
1,1951-04-01,92.9
1,1951-05-01,108.5
1,1951-06-01,100.6
1,1951-07-01,61.5
1,1951-08-01,61.0
1,1951-09-01,83.1
1,1951-10-01,51.6
1,1951-11-01,52.4
1,1951-12-01,45.8
1,1952-01-01,40.7
1,1952-02-01,22.7
1,1952-03-01,22.0
1,1952-04-01,29.1
1,1952-05-01,23.4
1,1952-06-01,36.4
1,1952-07-01,39.3
1,1952-08-01,54.9
1,1952-09-01,28.2
1,1952-10-01,23.8
1,1952-11-01,22.1
1,1952-12-01,34.3
1,1953-01-01,26.5
1,1953-02-01,3.9
1,1953-03-01,10.0
1,1953-04-01,27.8
1,1953-05-01,12.5
1,1953-06-01,21.8
1,1953-07-01,8.6
1,1953-08-01,23.5
1,1953-09-01,19.3
1,1953-10-01,8.2
1,1953-11-01,1.6
1,1953-12-01,2.5
1,1954-01-01,0.2
1,1954-02-01,0.5
1,1954-03-01,10.9
1,1954-04-01,1.8
1,1954-05-01,0.8
1,1954-06-01,0.2
1,1954-07-01,4.8
1,1954-08-01,8.4
1,1954-09-01,1.5
1,1954-10-01,7.0
1,1954-11-01,9.2
1,1954-12-01,7.6
1,1955-01-01,23.1
1,1955-02-01,20.8
1,1955-03-01,4.9
1,1955-04-01,11.3
1,1955-05-01,28.9
1,1955-06-01,31.7
1,1955-07-01,26.7
1,1955-08-01,40.7
1,1955-09-01,42.7
1,1955-10-01,58.5
1,1955-11-01,89.2
1,1955-12-01,76.9
1,1956-01-01,73.6
1,1956-02-01,124.0
1,1956-03-01,118.4
1,1956-04-01,110.7
1,1956-05-01,136.6
1,1956-06-01,116.6
1,1956-07-01,129.1
1,1956-08-01,169.6
1,1956-09-01,173.2
1,1956-10-01,155.3
1,1956-11-01,201.3
1,1956-12-01,192.1
1,1957-01-01,165.0
1,1957-02-01,130.2
1,1957-03-01,157.4
1,1957-04-01,175.2
1,1957-05-01,164.6
1,1957-06-01,200.7
1,1957-07-01,187.2
1,1957-08-01,158.0
1,1957-09-01,235.8
1,1957-10-01,253.8
1,1957-11-01,210.9
1,1957-12-01,239.4
1,1958-01-01,202.5
1,1958-02-01,164.9
1,1958-03-01,190.7
1,1958-04-01,196.0
1,1958-05-01,175.3
1,1958-06-01,171.5
1,1958-07-01,191.4
1,1958-08-01,200.2
1,1958-09-01,201.2
1,1958-10-01,181.5
1,1958-11-01,152.3
1,1958-12-01,187.6
1,1959-01-01,217.4
1,1959-02-01,143.1
1,1959-03-01,185.7
1,1959-04-01,163.3
1,1959-05-01,172.0
1,1959-06-01,168.7
1,1959-07-01,149.6
1,1959-08-01,199.6
1,1959-09-01,145.2
1,1959-10-01,111.4
1,1959-11-01,124.0
1,1959-12-01,125.0
1,1960-01-01,146.3
1,1960-02-01,106.0
1,1960-03-01,102.2
1,1960-04-01,122.0
1,1960-05-01,119.6
1,1960-06-01,110.2
1,1960-07-01,121.7
1,1960-08-01,134.1
1,1960-09-01,127.2
1,1960-10-01,82.8
1,1960-11-01,89.6
1,1960-12-01,85.6
1,1961-01-01,57.9
1,1961-02-01,46.1
1,1961-03-01,53.0
1,1961-04-01,61.4
1,1961-05-01,51.0
1,1961-06-01,77.4
1,1961-07-01,70.2
1,1961-08-01,55.9
1,1961-09-01,63.6
1,1961-10-01,37.7
1,1961-11-01,32.6
1,1961-12-01,40.0
1,1962-01-01,38.7
1,1962-02-01,50.3
1,1962-03-01,45.6
1,1962-04-01,46.4
1,1962-05-01,43.7
1,1962-06-01,42.0
1,1962-07-01,21.8
1,1962-08-01,21.8
1,1962-09-01,51.3
1,1962-10-01,39.5
1,1962-11-01,26.9
1,1962-12-01,23.2
1,1963-01-01,19.8
1,1963-02-01,24.4
1,1963-03-01,17.1
1,1963-04-01,29.3
1,1963-05-01,43.0
1,1963-06-01,35.9
1,1963-07-01,19.6
1,1963-08-01,33.2
1,1963-09-01,38.8
1,1963-10-01,35.3
1,1963-11-01,23.4
1,1963-12-01,14.9
1,1964-01-01,15.3
1,1964-02-01,17.7
1,1964-03-01,16.5
1,1964-04-01,8.6
1,1964-05-01,9.5
1,1964-06-01,9.1
1,1964-07-01,3.1
1,1964-08-01,9.3
1,1964-09-01,4.7
1,1964-10-01,6.1
1,1964-11-01,7.4
1,1964-12-01,15.1
1,1965-01-01,17.5
1,1965-02-01,14.2
1,1965-03-01,11.7
1,1965-04-01,6.8
1,1965-05-01,24.1
1,1965-06-01,15.9
1,1965-07-01,11.9
1,1965-08-01,8.9
1,1965-09-01,16.8
1,1965-10-01,20.1
1,1965-11-01,15.8
1,1965-12-01,17.0
1,1966-01-01,28.2
1,1966-02-01,24.4
1,1966-03-01,25.3
1,1966-04-01,48.7
1,1966-05-01,45.3
1,1966-06-01,47.7
1,1966-07-01,56.7
1,1966-08-01,51.2
1,1966-09-01,50.2
1,1966-10-01,57.2
1,1966-11-01,57.2
1,1966-12-01,70.4
1,1967-01-01,110.9
1,1967-02-01,93.6
1,1967-03-01,111.8
1,1967-04-01,69.5
1,1967-05-01,86.5
1,1967-06-01,67.3
1,1967-07-01,91.5
1,1967-08-01,107.2
1,1967-09-01,76.8
1,1967-10-01,88.2
1,1967-11-01,94.3
1,1967-12-01,126.4
1,1968-01-01,121.8
1,1968-02-01,111.9
1,1968-03-01,92.2
1,1968-04-01,81.2
1,1968-05-01,127.2
1,1968-06-01,110.3
1,1968-07-01,96.1
1,1968-08-01,109.3
1,1968-09-01,117.2
1,1968-10-01,107.7
1,1968-11-01,86.0
1,1968-12-01,109.8
1,1969-01-01,104.4
1,1969-02-01,120.5
1,1969-03-01,135.8
1,1969-04-01,106.8
1,1969-05-01,120.0
1,1969-06-01,106.0
1,1969-07-01,96.8
1,1969-08-01,98.0
1,1969-09-01,91.3
1,1969-10-01,95.7
1,1969-11-01,93.5
1,1969-12-01,97.9
1,1970-01-01,111.5
1,1970-02-01,127.8
1,1970-03-01,102.9
1,1970-04-01,109.5
1,1970-05-01,127.5
1,1970-06-01,106.8
1,1970-07-01,112.5
1,1970-08-01,93.0
1,1970-09-01,99.5
1,1970-10-01,86.6
1,1970-11-01,95.2
1,1970-12-01,83.5
1,1971-01-01,91.3
1,1971-02-01,79.0
1,1971-03-01,60.7
1,1971-04-01,71.8
1,1971-05-01,57.5
1,1971-06-01,49.8
1,1971-07-01,81.0
1,1971-08-01,61.4
1,1971-09-01,50.2
1,1971-10-01,51.7
1,1971-11-01,63.2
1,1971-12-01,82.2
